projectId,tierName,minAmount,quota
10000001,Supporter,200.0,499
10000001,Starter Kit,1000.0,49
10000001,Pro Kit,3000.0,9
10000002,Early Bird,300.0,98
10000002,Collector,1200.0,19
10000003,Donor,500.0,400
10000003,Sponsor,3000.0,39
10000004,Backer,250.0,199
10000004,Patron,1500.0,30
10000005,Sapling,300.0,299
10000005,Groves,2000.0,24
10000006,Taster,150.0,298
10000006,VIP Pass,900.0,39
10000007,Contributor,400.0,299
10000007,Sponsor,2500.0,24
10000008,Fan,200.0,299
10000008,Producer,1800.0,18
